monkey_strategy,wolf_strategy,seed,winner,turn_count,start_time,end_time
random,random,0,WOLF,20,2024-08-16T23:00:28.539060,2024-08-16T23:00:28.775179
random,random,1,MONKEY,13,2024-08-16T23:00:28.775179,2024-08-16T23:00:28.918293
random,random,2,WOLF,14,2024-08-16T23:00:28.918293,2024-08-16T23:00:29.230950
random,random,3,MONKEY,17,2024-08-16T23:00:29.230950,2024-08-16T23:00:29.434751
random,random,4,MONKEY,17,2024-08-16T23:00:29.434751,2024-08-16T23:00:29.624774
random,random_spot_win,0,WOLF,10,2024-08-16T23:00:29.624774,2024-08-16T23:00:29.797912
random,random_spot_win,1,MONKEY,13,2024-08-16T23:00:29.797912,2024-08-16T23:00:29.940428
random,random_spot_win,2,WOLF,14,2024-08-16T23:00:29.940428,2024-08-16T23:00:30.254882
random,random_spot_win,3,WOLF,16,2024-08-16T23:00:30.254882,2024-08-16T23:00:30.506417
random,random_spot_win,4,MONKEY,17,2024-08-16T23:00:30.506417,2024-08-16T23:00:30.758800
random,metric_count,0,WOLF,8,2024-08-16T23:00:30.772203,2024-08-16T23:00:30.853302
random,metric_count,1,WOLF,12,2024-08-16T23:00:30.853302,2024-08-16T23:00:30.994664
random,metric_count,2,WOLF,14,2024-08-16T23:00:30.994664,2024-08-16T23:00:31.152670
random,metric_count,3,WOLF,10,2024-08-16T23:00:31.152670,2024-08-16T23:00:31.279609
random,metric_count,4,WOLF,14,2024-08-16T23:00:31.279609,2024-08-16T23:00:31.436919
random,metric_position,0,WOLF,10,2024-08-16T23:00:31.436919,2024-08-16T23:00:31.531362
random,metric_position,1,WOLF,12,2024-08-16T23:00:31.531362,2024-08-16T23:00:31.673138
random,metric_position,2,WOLF,10,2024-08-16T23:00:31.673138,2024-08-16T23:00:31.895387
random,metric_position,3,WOLF,8,2024-08-16T23:00:31.895387,2024-08-16T23:00:32.025460
random,metric_position,4,WOLF,14,2024-08-16T23:00:32.025460,2024-08-16T23:00:32.161433
random,metric_position_strength,0,WOLF,8,2024-08-16T23:00:32.177005,2024-08-16T23:00:32.302789
