monkey_strategy,wolf_strategy,seed,winner,turn_count,start_time,end_time,thread_name
random,random,0,MONKEY,13,2024-08-18T16:18:37.444281,2024-08-18T16:18:37.634380,ninja_taisen_0
random,random_spot_win,0,MONKEY,13,2024-08-18T16:18:37.649984,2024-08-18T16:18:37.901950,ninja_taisen_0
random,metric_count,0,WOLF,10,2024-08-18T16:18:37.917474,2024-08-18T16:18:38.201495,ninja_taisen_0
random,metric_position,0,MONKEY,9,2024-08-18T16:18:38.263875,2024-08-18T16:18:38.562778,ninja_taisen_0
random,metric_position_strength,0,WOLF,8,2024-08-18T16:18:38.752139,2024-08-18T16:18:39.019377,ninja_taisen_0
random,metric_strength,0,WOLF,16,2024-08-18T16:18:39.256329,2024-08-18T16:18:39.712253,ninja_taisen_0
random_spot_win,random,0,MONKEY,7,2024-08-18T16:18:37.475629,2024-08-18T16:18:37.712981,ninja_taisen_1
random_spot_win,random_spot_win,0,MONKEY,7,2024-08-18T16:18:37.744240,2024-08-18T16:18:38.222603,ninja_taisen_1
random_spot_win,metric_count,0,WOLF,10,2024-08-18T16:18:38.358234,2024-08-18T16:18:38.815238,ninja_taisen_1
random_spot_win,metric_position,0,MONKEY,7,2024-08-18T16:18:39.082369,2024-08-18T16:18:39.380730,ninja_taisen_1
random_spot_win,metric_position_strength,0,WOLF,8,2024-08-18T16:18:39.649061,2024-08-18T16:18:39.869813,ninja_taisen_1
random_spot_win,metric_strength,0,WOLF,16,2024-08-18T16:18:39.966619,2024-08-18T16:18:40.262754,ninja_taisen_1
metric_count,random,0,MONKEY,11,2024-08-18T16:18:37.507295,2024-08-18T16:18:38.029175,ninja_taisen_2
metric_count,random_spot_win,0,MONKEY,11,2024-08-18T16:18:38.185860,2024-08-18T16:18:38.436989,ninja_taisen_2
metric_count,metric_count,0,WOLF,20,2024-08-18T16:18:38.657964,2024-08-18T16:18:38.956167,ninja_taisen_2
metric_count,metric_position,0,WOLF,10,2024-08-18T16:18:39.180299,2024-08-18T16:18:39.495757,ninja_taisen_2
metric_count,metric_position_strength,0,MONKEY,9,2024-08-18T16:18:39.696534,2024-08-18T16:18:39.966619,ninja_taisen_2
metric_count,metric_strength,0,WOLF,12,2024-08-18T16:18:40.247134,2024-08-18T16:18:40.372197,ninja_taisen_2
metric_position,random,0,MONKEY,7,2024-08-18T16:18:37.681721,2024-08-18T16:18:38.263875,ninja_taisen_3
metric_position,random_spot_win,0,MONKEY,7,2024-08-18T16:18:38.389884,2024-08-18T16:18:38.657964,ninja_taisen_3
metric_position,metric_count,0,MONKEY,17,2024-08-18T16:18:38.956167,2024-08-18T16:18:39.050642,ninja_taisen_3
metric_position,metric_position,0,MONKEY,7,2024-08-18T16:18:39.380730,2024-08-18T16:18:39.617334,ninja_taisen_3
metric_position,metric_position_strength,0,MONKEY,7,2024-08-18T16:18:39.791147,2024-08-18T16:18:39.900978,ninja_taisen_3
metric_position,metric_strength,0,WOLF,20,2024-08-18T16:18:40.042784,2024-08-18T16:18:40.184937,ninja_taisen_3
metric_position_strength,random,0,MONKEY,7,2024-08-18T16:18:37.759962,2024-08-18T16:18:38.327086,ninja_taisen_4
metric_position_strength,random_spot_win,0,MONKEY,7,2024-08-18T16:18:38.610280,2024-08-18T16:18:38.752139,ninja_taisen_4
metric_position_strength,metric_count,0,MONKEY,11,2024-08-18T16:18:39.019377,2024-08-18T16:18:39.180299,ninja_taisen_4
metric_position_strength,metric_position,0,MONKEY,11,2024-08-18T16:18:39.427730,2024-08-18T16:18:39.649061,ninja_taisen_4
metric_position_strength,metric_position_strength,0,MONKEY,11,2024-08-18T16:18:39.885331,2024-08-18T16:18:40.027063,ninja_taisen_4
metric_position_strength,metric_strength,0,MONKEY,11,2024-08-18T16:18:40.279033,2024-08-18T16:18:40.404473,ninja_taisen_4
metric_strength,random,0,MONKEY,7,2024-08-18T16:18:37.807681,2024-08-18T16:18:38.280096,ninja_taisen_5
metric_strength,random_spot_win,0,MONKEY,7,2024-08-18T16:18:38.547152,2024-08-18T16:18:38.956167,ninja_taisen_5
metric_strength,metric_count,0,WOLF,20,2024-08-18T16:18:39.129416,2024-08-18T16:18:39.585554,ninja_taisen_5
metric_strength,metric_position,0,WOLF,10,2024-08-18T16:18:39.727797,2024-08-18T16:18:39.916602,ninja_taisen_5
metric_strength,metric_position_strength,0,WOLF,12,2024-08-18T16:18:40.121336,2024-08-18T16:18:40.247134,ninja_taisen_5
metric_strength,metric_strength,0,WOLF,14,2024-08-18T16:18:40.404473,2024-08-18T16:18:40.484289,ninja_taisen_5
